;fecha;texto;retweets;favoritos;hashtags;menciones;localizacion;origen;topic
3;2021-07-08 10:40:19;#Caracas Desde las 5am reportan disparos desde la Cota 905. Evite transitar por los túneles del Cementerio, túneles… https://t.co/eZbJ3P8LAg;2936;2566;['Caracas'];[];Caracas, Venezuela;Twitter for Android;Caracas
4;2021-07-08 13:20:11;Hoy nuevamente Caracas amanece como zona de guerra, contabiliza heridos y muertos, con el miedo de nuestra gente de… https://t.co/SJe6j5o5tC;1404;1631;[];[];Vargas;Twitter for iPhone;Caracas
5;2021-07-08 12:01:40;La mañana hoy en el oeste de Caracas se prolonga como zona de guerra, situación que complace a la élite de la dicta… https://t.co/VoTsuG9aQk;663;867;[];[];Miami, FL;Twitter for iPhone;Caracas
6;2021-07-08 03:09:42;Yo se que hace mucho que es un horror todo todos los días, pero permítanme no caer en anomia y volverme a espantar:… https://t.co/nv6fHqJc1B;649;1527;[];[];Caracas - Venezuela;Twitter for iPhone;Caracas
7;2021-07-08 16:58:59;Imágenes como esta sobre el conflicto armado en el suroeste de Caracas no aparecen en la televisión venezolana. Los… https://t.co/ygIiuG2iY1;556;490;[];[];Caracas, Venezuela;Twitter Web App;Caracas
8;2021-07-08 02:45:38;"- Ejercicios militares del Comando Sur en Guyana
- Visita del jefe de la CIA a Colombia
- Visita del jefe de la CIA… https://t.co/H4ECldOtr0";1197;1137;[];[];Caracas, Venezuela;Twitter for iPhone;Caracas
9;2021-07-08 13:10:46;"Ahora la banda sonora de Caracas es la del Coqui. El traqueteo letal de sus armas. 

Mientras tanto, la dictadura s… https://t.co/SfQxAbqjSq";1237;2289;[];[];Caracas, Venezuela;Twitter for iPhone;Caracas
10;2021-07-08 13:57:32;El Koki y su banda sigue acosando a Caracas. Los vecinos del Oeste de la ciudad no tienen en este momento garantía… https://t.co/8T9lLC9LWn;827;930;[];[];Miranda, Venezuela;Twitter for iPhone;Caracas
1;2021-07-08 09:30:19;After 16 years at Real Madrid, it’s a new look for Sergio Ramos 🇫🇷 https://t.co/WWD64BmnP5;8429;65992;[];[];;TweetDeck;Sergio Ramos
2;2021-07-07 10:19:24;Sergio Ramos has completed his medical in Paris as new Paris-Saint Germain player. Contract already signed until Ju… https://t.co/SIifhhqkZ1;5785;56934;[];[];Milano, Italia;Twitter for iPhone;Sergio Ramos
